from_stop_id,to_stop_id,transfer_type,min_transfer_time
46962,41195,2,180
46962,36394,2,180
46962,35669,2,180
46962,35668,2,180
46961,46526,2,180
46961,41196,2,180
46961,41195,2,180
46961,36394,2,180
46961,35669,2,180
46961,35668,2,180
46960,46526,2,180
46960,41196,2,180
46960,41195,2,180
46960,36394,2,180
46960,35669,2,180
46960,35668,2,180
46664,46036,2,480
46664,46035,2,480
47684,46659,2,120
46645,46055,2,240
46645,42740,2,240
46645,32127,2,180
46645,32126,2,180
46645,30472,2,120
46644,46055,2,120
46644,42740,2,120
46644,32127,2,120
46644,32126,2,120
46644,30472,2,180
46642,46055,2,120
46642,42740,2,120
46642,32127,2,60
46642,32126,2,60
46642,30472,2,120
46530,46529,2,60
46526,41196,2,60
46526,41195,2,60
46526,39996,2,120
46526,37274,2,120
46526,37216,2,120
46526,37170,2,60
46526,37169,2,120
46526,36434,2,180
46526,36394,2,180
46526,35669,2,60
46526,35668,2,60
46191,32120,2,180
46190,46032,2,120
46190,46031,2,120
46189,46032,2,120
46189,46031,2,120
46175,32119,2,180
46175,32118,2,180
46190,46160,2,120
46189,46160,2,120
46160,46159,2,60
46160,46032,2,180
46160,46031,2,180
46190,46159,2,120
46189,46159,2,120
46159,46032,2,180
46159,46031,2,180
46158,46157,2,60
46156,46155,2,60
46156,39037,2,180
46156,2350,2,180
46155,39037,2,180
46155,2350,2,180
46154,35094,2,60
46154,2545,2,120
46154,2543,2,120
46154,2542,2,120
46154,2541,2,120
46151,32119,2,180
46151,32118,2,180
46088,46025,2,180
46088,46024,2,180
46088,45884,2,360
46088,45883,2,240
46088,45848,2,360
46088,35659,2,240
46088,32121,2,180
46088,32120,2,180
46067,46036,2,360
46067,46035,2,360
46055,42740,2,60
46051,44598,2,180
46051,33685,2,180
46051,30202,2,60
46051,30201,2,180
46051,30103,2,180
46051,11518,2,180
46040,30198,2,60
46040,30197,2,120
46040,30133,2,120
46040,2702,2,120
46040,2701,2,60
46040,2700,2,120
46040,10068,2,120
46132,46036,2,120
46130,46036,2,120
46126,46036,2,120
46125,46036,2,120
46124,46036,2,120
46123,46036,2,120
46122,46036,2,120
46121,46036,2,120
46120,46036,2,120
46132,46035,2,120
46130,46035,2,120
46126,46035,2,120
46125,46035,2,120
46124,46035,2,120
46123,46035,2,120
46122,46035,2,120
50129,37216,2,60
50129,37170,2,60
50129,37169,2,60
50117,1415,2,60
50117,1414,2,60
50111,48387,2,60
50107,48324,2,60
50107,2936,2,60
50107,2935,2,60
50107,11305,2,60
50100,3016,2,60
50100,3015,2,60
50091,1955,2,60
50091,1954,2,60
50073,10037,2,60
50059,46401,2,60
48359,48358,2,60
48357,48356,2,60
48343,46645,2,60
48343,46644,2,60
48343,46642,2,180
48343,46055,2,180
48343,435,2,60
48343,434,2,60
48343,42740,2,180
48343,32127,2,180
48343,32126,2,180
48343,30472,2,180
48343,11810,2,60
48342,48341,2,60
48336,46059,2,180
48336,42736,2,180
48332,2026,2,60
48324,2936,2,60
48197,48099,2,60
48197,47914,2,60
48197,46061,2,180
48197,46060,2,180
48190,48099,2,60
48190,47914,2,60
48190,46061,2,180
48190,46060,2,180
48189,48099,2,60
48189,47914,2,60
48189,46061,2,180
48189,46060,2,180
48182,48139,2,180
48182,48138,2,180
48161,30188,2,180
48161,30187,2,180
48160,1906,2,60
48160,1905,2,60
