route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
J41,1,JD41,Collège Pierre Brossolette (Oullins),SCO,713,17297B,
J53,1,JD53,Collège et Lycée Jean Perrin (Lyon 9ème),SCO,713,17297B,
J56,1,JD56,Collège et Lycée Jean Perrin (Lyon 9ème),SCO,713,17297B,
J58,1,JD58,Collège et Lycée Jean Perrin (Lyon 9ème),SCO,713,17297B,
J73,1,JD73,Institution ND de Bellegarde & Lycée Rosa Parks (Neuville),SCO,713,17297B,
J74,1,JD74,Institution ND de Bellegarde & Lycée Rosa Parks (Neuville),SCO,713,17297B,
J75,1,JD75,Institution ND de Bellegarde & Lycée Rosa Parks (Neuville),SCO,713,17297B,
J92,1,JD92,Etablissements scolaires de Lyon 5ème,SCO,713,17297B,
J100,1,JD100,Collège Jean Moulin et lycée Saint-Just (Lyon 5ème),SCO,713,17297B,
J111,1,JD111,Etablissements scolaires de Givors,SCO,713,17297B,
J120,1,JD120,Collèges Jeanne d'Arc & Louis Leprince Ringuet (Genas),SCO,713,17297B,
J121,1,JD121,Collèges Jeanne d'Arc & Louis Leprince Ringuet (Genas),SCO,713,17297B,
J122,1,JD122,Collèges Jeanne d'Arc & Louis Leprince Ringuet (Genas),SCO,713,17297B,
J123,1,JD123,Collèges Jeanne d'Arc & Louis Leprince Ringuet (Genas),SCO,713,17297B,
J125,1,JD125,Collège Jeanne d'Arc (Genas),SCO,713,17297B,
J126,1,JD126,Collèges Jeanne d'Arc & Louis Leprince Ringuet (Genas),SCO,713,17297B,
J127,1,JD127,Collèges Jeanne d'Arc & Louis Leprince Ringuet (Genas),SCO,713,17297B,
J129,1,JD129,Collèges Jeanne d'Arc & Louis Leprince Ringuet (Genas),SCO,713,17297B,
J130,1,JD130,Collège et lycée Charles de Foucauld (Lyon 3ème),SCO,713,17297B,
J132,1,JD132,Etablissements scolaires de Lyon 3ème & 8ème,SCO,713,17297B,
J133,1,JD133,Etablissements scolaires de Lyon 3ème & 8ème,SCO,713,17297B,
J135,1,JD135,Etablissements scolaires de Lyon 3ème & 8ème,SCO,713,17297B,
J136,1,JD136,Etablissements scolaires de Lyon 3ème & 8ème,SCO,713,17297B,
J137,1,JD137,Etablissements scolaires de Lyon 3ème & 8ème,SCO,713,17297B,
J140,1,JD140,Collège Charles Sénard (Caluire-et-Cuire),SCO,713,17297B,
J166,1,JD166,Lycée Blaise Pascal (Charbonnières-les-Bains),SCO,713,17297B,
J167,1,JD167,Lycée Blaise Pascal (Charbonnières-les-Bains),SCO,713,17297B,
J168,1,JD168,Lycée Blaise Pascal (Charbonnières-les-Bains),SCO,713,17297B,
J169,1,JD169,Lycée Blaise Pascal (Charbonnières-les-Bains),SCO,713,17297B,
J171,1,JD171,Institution Saint-Joseph (Tassin-la-Demi-Lune),SCO,713,17297B,
J172,1,JD172,Institution Saint-Joseph (Tassin-la-Demi-Lune),SCO,713,17297B,
J173,1,JD173,Institution Saint-Joseph (Tassin-la-Demi-Lune),SCO,713,17297B,
J174,1,JD174,Institution Saint-Joseph (Tassin-la-Demi-Lune),SCO,713,17297B,
J176,1,JD176,Institution Saint-Joseph (Tassin-la-Demi-Lune),SCO,713,17297B,
J177,1,JD177,Institution Saint-Joseph (Tassin-la-Demi-Lune),SCO,713,17297B,
J181,1,JD181,Collège et Lycée Fromente (Saint-Didier-au-Mont-d'Or),SCO,713,17297B,
J182,1,JD182,Collège et Lycée Fromente (Saint-Didier-au-Mont-d'Or),SCO,713,17297B,
J183,1,JD183,Collège et Lycée Fromente (Saint-Didier-au-Mont-d'Or),SCO,713,17297B,
J184,1,JD184,Collège et Lycée Fromente (Saint-Didier-au-Mont-d'Or),SCO,713,17297B,
J185,1,JD185,Collège et Lycée Fromente (Saint-Didier-au-Mont-d'Or),SCO,713,17297B,
J186,1,JD186,Collège et Lycée Fromente (Saint-Didier-au-Mont-d'Or),SCO,713,17297B,
J187,1,JD187,Collège et Lycée Fromente (Saint-Didier-au-Mont-d'Or),SCO,713,17297B,
J190,1,JD190,Collège et Lycée La Xavière (Vénissieux & Lyon 8ème),SCO,713,17297B,
J192,1,JD192,Collège et Lycée La Xavière (Vénissieux & Lyon 8ème),SCO,713,17297B,
J195,1,JD195,Collège et Lycée La Xavière (Vénissieux & Lyon 8ème),SCO,713,17297B,
J200,1,JD200,Etablissements scolaires Croix-Rousse (Lyon 1er),SCO,713,17297B,
J201,1,JD201,Etablissements scolaires Croix-Rousse (Lyon 1er & 4ème),SCO,713,17297B,
J202,1,JD202,Etablissements scolaires Croix-Rousse (Lyon 1er & 4ème),SCO,713,17297B,
